iCharger106B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh]
00:00.000;3.461;0.000;931
00:02.000;3.464;0.000;931
00:04.000;3.464;0.000;931
00:06.000;3.464;0.000;931
00:08.000;3.464;0.000;931
00:10.000;3.465;0.000;931
00:12.000;3.472;0.000;931
00:14.000;3.472;0.000;931
00:16.000;3.472;0.000;931
00:18.000;3.472;0.000;931
00:20.000;3.478;0.000;931
00:22.000;3.474;0.000;931
00:24.000;3.479;0.000;931
00:26.000;3.479;0.000;931
00:28.000;3.479;0.000;931
00:30.000;3.479;0.000;931
00:32.000;3.479;0.000;931
00:34.000;3.479;0.000;931
00:36.000;3.486;0.000;931
00:38.000;3.479;0.000;931
00:40.000;3.480;0.000;931
00:42.000;3.481;0.000;931
00:44.000;3.487;0.000;931
00:46.000;3.486;0.000;931
00:48.000;3.486;0.000;931
00:50.000;3.487;0.000;931
00:52.000;3.487;0.000;931
00:54.000;3.487;0.000;931
00:56.000;3.487;0.000;931
00:58.000;3.487;0.000;931
01:00.000;3.487;0.000;931
01:02.000;3.487;0.000;931
01:04.000;3.494;0.000;931
01:06.000;3.493;0.000;931
01:08.000;3.493;0.000;931
01:10.000;3.490;0.000;931
01:12.000;3.489;0.000;931
01:14.000;3.495;0.000;931
01:16.000;3.492;0.000;931
01:18.000;3.493;0.000;931
01:20.000;3.492;0.000;931
01:22.000;3.495;0.000;931
01:24.000;3.494;0.000;931
01:26.000;3.495;0.000;931
01:28.000;3.494;0.000;931
01:30.000;3.495;0.000;931
01:32.000;3.495;0.000;931
01:34.000;3.495;0.000;931
01:36.000;3.495;0.000;931
01:38.000;3.495;0.000;931
01:40.000;3.495;0.000;931
01:42.000;3.495;0.000;931
01:44.000;3.495;0.000;931
01:46.000;3.495;0.000;931
01:48.000;3.495;0.000;931
01:50.000;3.495;0.000;931
01:52.000;3.495;0.000;931
01:54.000;3.495;0.000;931
01:56.000;3.495;0.000;931
01:58.000;3.495;0.000;931
02:00.000;3.495;0.000;931
02:02.000;3.495;0.000;931
02:04.000;3.495;0.000;931
02:06.000;3.495;0.000;931
02:08.000;3.495;0.000;931
02:10.000;3.501;0.000;931
02:12.000;3.495;0.000;931
02:14.000;3.495;0.000;931
02:16.000;3.501;0.000;931
02:18.000;3.498;0.000;931
02:20.000;3.496;0.000;931
02:22.000;3.497;0.000;931
02:24.000;3.502;0.000;931
02:26.000;3.499;0.000;931
02:28.000;3.502;0.000;931
02:30.000;3.502;0.000;931
02:32.000;3.502;0.000;931
02:34.000;3.502;0.000;931
02:36.000;3.502;0.000;931
02:38.000;3.502;0.000;931
02:40.000;3.502;0.000;931
02:42.000;3.502;0.000;931
02:44.000;3.502;0.000;931
02:46.000;3.502;0.000;931
02:48.000;3.502;0.000;931
02:50.000;3.502;0.000;931
02:52.000;3.502;0.000;931
02:54.000;3.502;0.000;931
02:56.000;3.502;0.000;931
02:58.000;3.502;0.000;931
03:00.000;3.502;0.000;931
03:02.000;3.502;0.000;931
03:04.000;3.502;0.000;931
03:06.000;3.502;0.000;931
03:08.000;3.502;0.000;931
03:10.000;3.502;0.000;931
03:12.000;3.502;0.000;931
03:14.000;3.502;0.000;931
03:16.000;3.502;0.000;931
03:18.000;3.502;0.000;931
03:20.000;3.502;0.000;931
03:22.000;3.502;0.000;931
03:24.000;3.502;0.000;931
03:26.000;3.502;0.000;931
03:28.000;3.502;0.000;931
03:30.000;3.502;0.000;931
03:32.000;3.509;0.000;931
03:34.000;3.507;0.000;931
03:36.000;3.502;0.000;931
03:38.000;3.502;0.000;931
03:40.000;3.502;0.000;931
03:42.000;3.502;0.000;931
03:44.000;3.509;0.000;931
03:46.000;3.505;0.000;931
03:48.000;3.503;0.000;931
03:50.000;3.507;0.000;931
03:52.000;3.505;0.000;931
03:54.000;3.505;0.000;931
03:56.000;3.506;0.000;931
03:58.000;3.510;0.000;931
04:00.000;3.508;0.000;931
04:02.000;3.508;0.000;931
04:04.000;3.507;0.000;931
04:06.000;3.509;0.000;931
04:08.000;3.506;0.000;931
04:10.000;3.509;0.000;931
04:12.000;3.510;0.000;931
04:14.000;3.509;0.000;931
04:16.000;3.510;0.000;931
04:18.000;3.509;0.000;931
04:20.000;3.510;0.000;931
04:22.000;3.510;0.000;931
04:24.000;3.510;0.000;931
04:26.000;3.510;0.000;931
04:28.000;3.510;0.000;931
04:30.000;3.510;0.000;931
04:32.000;3.510;0.000;931
04:34.000;3.510;0.000;931
04:36.000;3.510;0.000;931
04:38.000;3.510;0.000;931
04:40.000;3.510;0.000;931
04:42.000;3.510;0.000;931
04:44.000;3.510;0.000;931
04:46.000;3.510;0.000;931
04:48.000;3.510;0.000;931
04:50.000;3.510;0.000;931
04:52.000;3.510;0.000;931
04:54.000;3.510;0.000;931
04:56.000;3.510;0.000;931
04:58.000;3.510;0.000;931
05:00.000;3.510;0.070;0
